Publisher Name,Publisher Registry Id,Publisher Type,Timeliness,Forward looking,Comprehensiveness,Score
Ministère de l'Economie et des Finances du Bénin,mefbenin,Government,62,0.0,85,49
Mission Øst,missioneast,International NGO,25,0.0,48,24
Mondiaal FNV,mondiaalfnv,National NGO,25,50.0,78,51
Montrose International LLP,montrose_llp,"Academic, Training and Research",0,0.0,64,21
mothers2mothers,m2m_sa,International NGO,0,0.0,67,22
Motivation,motivation,International NGO,25,33.333333333333336,65,41
Mott MacDonald Limited,mml,Private Sector,75,55.666666666666664,76,69
MSI Reproductive Choices,msi,International NGO,62,88.66666666666667,86,79
Mukisa Foundation,mukisa_foundation,National NGO,0,0.0,72,24
Mulanje Mission Hospital,mmh,National NGO,25,0.0,68,31
Multilateral Investment Fund,fomin,Multilateral,25,0.0,80,35
Musalaha Ministry of Reconciliation,mmr_admin2,"Academic, Training and Research",0,0.0,65,22
Musawah Global Vision Berhad,musawah,International NGO,38,0.0,72,37
Muslim Aid,muslimaid,International NGO,0,0.0,0,0
MVO Nederland,mvo_nederland,Other Public Sector,38,0.0,83,40
Mzumbe University,m_u,"Academic, Training and Research",75,0.0,60,45
Médecins Sans Vacances,msv,National NGO,0,0.0,0,0
"Namati, Inc",namati_inc,International NGO,0,0.0,83,28
Nathan Associates London Ltd.,nathan,Private Sector,75,0.0,66,47
National Union of Women With Disabilities of Uganda,nuwodu,National NGO,25,100.0,80,68
Natural Resource Governance Institute (NRGI),nrgi,International NGO,0,0.0,0,0
"Natural Resources Institute, University of Greenwich.",nri,"Academic, Training and Research",0,0.0,60,20
Nature and Development Foundation,ndf_fgm,National NGO,12,0.0,62,25
Near East Foundation (NEF USA),nef_usa,International NGO,0,0.0,0,0
Near East Foundation Mali (NEF Mali),nef_mali,International NGO,0,0.0,91,30
Near East Foundation UK (NEF UK),nef-uk,International NGO,0,66.66666666666667,74,47
Neem Foundation,neem,National NGO,0,0.0,0,0
Nepal Disabled Human Rights Center,dhrc_nepal,National NGO,0,0.0,66,22
Nepal Netra Jyoti Sangh,nnjs_nepal,National NGO,75,0.0,65,47
Netherlands - Ministry of Foreign Affairs,minbuza_nl,Government,100,64.33333333333333,88,84
Netherlands Commission for Environmental Assessment,ncea,Foundation,62,0.0,78,47
Netherlands Enterprise Agency (RVO),rvo,Government,100,0.3333333333333333,84,61
Netherlands Food Partnership,nfp,Foundation,12,0.0,86,33
Netherlands Institute for Multiparty Democracy (NIMD),nimd-hq,International NGO,50,0.0,0,17
Netherlands Organisation for Scientific Research (NWO),nwo,Government,0,11.0,71,27
Netherlands Red Cross,nlrc,International NGO,75,2.6666666666666665,80,53
Netherlands Space Office,nso,"Academic, Training and Research",62,0.0,84,49
