date,value
2022-01-22T01:00:46Z,31
2022-01-23T01:00:14Z,31
2022-01-24T01:01:17Z,31
2022-01-25T01:05:12Z,29
2022-01-26T01:08:18Z,29
2022-01-27T00:57:18Z,29
2022-01-28T00:58:34Z,29
2022-01-29T00:59:04Z,30
2022-01-30T01:00:05Z,30
2022-01-31T01:00:23Z,30
2022-02-01T01:01:59Z,30
2022-02-02T01:04:27Z,30
2022-02-03T01:00:37Z,30
2022-02-04T01:04:02Z,30
2022-02-04T22:10:56Z,30
2022-02-05T22:10:41Z,30
2022-02-07T01:37:54Z,30
2022-02-08T01:42:38Z,30
2022-02-09T01:40:22Z,30
2022-02-10T01:39:39Z,30
2022-02-11T01:42:16Z,30
2022-02-12T01:43:25Z,30
2022-02-13T01:44:03Z,30
2022-02-14T01:40:21Z,30
2022-02-15T01:43:21Z,30
2022-02-16T01:38:32Z,30
2022-02-17T01:35:17Z,30
2022-02-17T22:14:11Z,30
2022-02-19T01:49:11Z,30
2022-02-20T01:50:37Z,30
2022-02-21T01:47:03Z,30
2022-02-22T01:48:23Z,30
2022-02-23T01:46:14Z,30
2022-02-24T01:44:19Z,30
2022-02-25T01:48:21Z,30
2022-02-26T01:47:30Z,30
2022-02-27T01:55:50Z,30
2022-02-27T22:20:36Z,30
2022-03-01T01:49:38Z,30
2022-03-02T01:51:49Z,30
2022-03-03T01:52:16Z,30
2022-03-04T01:19:05Z,30
2022-03-05T01:16:02Z,30
2022-03-06T01:13:37Z,30
2022-03-07T01:13:59Z,30
2022-03-08T01:08:00Z,30
2022-03-09T01:10:01Z,30
2022-03-10T01:16:23Z,30
2022-03-11T01:16:55Z,30
2022-03-12T01:10:08Z,30
2022-03-13T01:12:34Z,30
2022-03-14T01:13:04Z,30
2022-03-15T01:16:19Z,30
2022-03-16T01:15:40Z,30
2022-03-17T01:16:12Z,30
2022-03-17T21:34:43Z,30
2022-03-19T01:00:40Z,29
2022-03-20T01:04:54Z,29
2022-03-21T01:00:13Z,29
2022-03-23T01:05:31Z,29
2022-03-24T01:04:29Z,29
2022-03-25T01:05:05Z,29
2022-03-26T01:08:33Z,29
2022-03-27T01:05:42Z,29
2022-03-28T01:01:52Z,29
